action,timestamp
addFood,2023-05-13 01:30:32.448
updateFoodCalories,2023-05-13 01:30:51.827
getFoods,2023-05-13 01:30:58.844
deleteFood,2023-05-13 01:31:04.543
addBeverage,2023-05-13 01:31:59.854
updateBeveragePrice,2023-05-13 01:32:43.122
getBeverages,2023-05-13 01:32:58.099
deleteBeverage,2023-05-13 01:33:04.347
addDeliveryPerson,2023-05-13 01:33:35.719
updateDeliveryPersonHourlyRate,2023-05-13 01:37:44.61
getDeliveryPeople,2023-05-13 01:37:50.953
deleteDeliveryPerson,2023-05-13 01:37:57.814
addUser,2023-05-13 01:38:23.249
updateUserTotalRating,2023-05-13 01:38:38.494
getUsers,2023-05-13 01:38:51.439
deleteUser,2023-05-13 01:39:01.134
